,accepted,condition_id,data,participant_crowd_worker_id,participant_hearing_response_estimation,participant_hearing_test_attempts,participant_hearing_test_last_attempt,participant_id,participant_passed_hearing_test,participant_platform,participant_post_test_survey,participant_pre_test_survey,rating,stimulus,test_id,trial_id
0,False,1,"{""stimulusKeys"": [""E1"", ""E1""], ""stimulusFiles"": {""S01_10"": ""seg01_10.mp3"", ""S01_09"": ""seg01_09.mp3"", ""S01_08"": ""seg01_08.mp3"", ""S01_07"": ""seg01_07.mp3"", ""S01_06"": ""seg01_06.mp3"", ""S01_05"": ""seg01_05.mp3"", ""S01_04"": ""seg01_04.mp3"", ""S01_03"": ""seg01_03.mp3"", ""S01_02"": ""seg01_02.mp3"", ""S01_01"": ""seg01_01.mp3""}, ""referenceKeys"": [""Reference""], ""conditionID"": ""1"", ""referenceFiles"": [[""Reference"", ""/audio/fTP8UtfLj3KbZX5FrTMDR27xosoS3sYg4ykups3W4trsLeGXgmhiCy6CMO9udUhdGv31A55kSU9cv4oVslgGhQekHonVs3KvSqqbCkUAdu8akMXtB1r_pk4__OwRQ-Pl.wav""]], ""groupID"": ""1""}",AFSB8WBSUU2B4,,1,2017-04-17 01:58:32.063124,4,True,mturk,"{""country"": ""USA"", ""speaker_other"": ""Other (Please specify)"", ""gender"": ""male"", ""confusing"": ""Please explain..."", ""average_music_hours"": ""less than one hour"", ""instrument"": ""Please specify..."", ""musician"": ""No"", ""speakers"": ""loudspeakers"", ""UserComment"": ""Your comment...""}","{""hearing_disorder"": ""No"", ""age"": ""31""}",0.57499582777,S01_01,1,21
1,True,1,"{""stimulusKeys"": [""E1"", ""E1""], ""stimulusFiles"": {""S01_10"": ""seg01_10.mp3"", ""S01_09"": ""seg01_09.mp3"", ""S01_08"": ""seg01_08.mp3"", ""S01_07"": ""seg01_07.mp3"", ""S01_06"": ""seg01_06.mp3"", ""S01_05"": ""seg01_05.mp3"", ""S01_04"": ""seg01_04.mp3"", ""S01_03"": ""seg01_03.mp3"", ""S01_02"": ""seg01_02.mp3"", ""S01_01"": ""seg01_01.mp3""}, ""referenceKeys"": [""Reference""], ""conditionID"": ""1"", ""referenceFiles"": [[""Reference"", ""/audio/fTP8UtfLj3KbZX5FrTMDRz1KfViP7mX7fo3NJ7RdrCXsLeGXgmhiCy6CMO9udUhdGv31A55kSU9cv4oVslgGhQekHonVs3KvSqqbCkUAdu8akMXtB1r_pk4__OwRQ-Pl.wav""]], ""groupID"": ""1""}",A20BMZQJS92QY2,,1,2017-04-17 01:58:27.825132,7,True,mturk,"{""country"": ""USA"", ""speaker_other"": ""Other (Please specify)"", ""gender"": ""female"", ""confusing"": ""no"", ""average_music_hours"": ""more than 8"", ""instrument"": ""Please specify..."", ""musician"": ""No"", ""speakers"": ""headphones"", ""UserComment"": ""none""}","{""hearing_disorder"": ""No"", ""age"": ""41""}",-1.0,S01_01,1,139
2,True,1,"{""stimulusKeys"": [""E1"", ""E1""], ""stimulusFiles"": {""S01_10"": ""seg01_10.mp3"", ""S01_09"": ""seg01_09.mp3"", ""S01_08"": ""seg01_08.mp3"", ""S01_07"": ""seg01_07.mp3"", ""S01_06"": ""seg01_06.mp3"", ""S01_05"": ""seg01_05.mp3"", ""S01_04"": ""seg01_04.mp3"", ""S01_03"": ""seg01_03.mp3"", ""S01_02"": ""seg01_02.mp3"", ""S01_01"": ""seg01_01.mp3""}, ""referenceKeys"": [""Reference""], ""conditionID"": ""1"", ""referenceFiles"": [[""Reference"", ""/audio/fTP8UtfLj3KbZX5FrTMDR9AnvgtJUUW7cV32PzA9gZoB_QTDgeevWITkUig4McHrQgADhayUlOnwdX_2_YsD87nJx2EQwcJIzdX7mYy-8sT8zALRU7slDnlrZJQD31b5.wav""]], ""groupID"": ""1""}",AVD6HMIO1HLFI,,1,2017-04-17 01:59:04.739074,11,True,mturk,"{""country"": ""USA"", ""speaker_other"": ""Philips SHP 9500"", ""gender"": ""male"", ""confusing"": ""Please explain..."", ""average_music_hours"": ""4 to 8"", ""instrument"": ""Please specify..."", ""musician"": ""No"", ""speakers"": ""headphones"", ""UserComment"": ""Your comment...""}","{""hearing_disorder"": ""No"", ""age"": ""28""}",0.102365654206,S01_01,1,201
3,False,1,"{""stimulusKeys"": [""E1"", ""E1""], ""stimulusFiles"": {""S01_10"": ""seg01_10.mp3"", ""S01_09"": ""seg01_09.mp3"", ""S01_08"": ""seg01_08.mp3"", ""S01_07"": ""seg01_07.mp3"", ""S01_06"": ""seg01_06.mp3"", ""S01_05"": ""seg01_05.mp3"", ""S01_04"": ""seg01_04.mp3"", ""S01_03"": ""seg01_03.mp3"", ""S01_02"": ""seg01_02.mp3"", ""S01_01"": ""seg01_01.mp3""}, ""referenceKeys"": [""Reference""], ""conditionID"": ""1"", ""referenceFiles"": [[""Reference"", ""/audio/fTP8UtfLj3KbZX5FrTMDRy5Y5eAvkbNXKMYugrbC4BEB_QTDgeevWITkUig4McHrQgADhayUlOnwdX_2_YsD87nJx2EQwcJIzdX7mYy-8sT8zALRU7slDnlrZJQD31b5.wav""]], ""groupID"": ""1""}",A3U761PEG7MFKT,,1,2017-04-17 01:59:19.402019,12,True,mturk,"{""country"": ""USA"", ""speaker_other"": ""Other (Please specify)"", ""gender"": ""female"", ""confusing"": ""no"", ""average_music_hours"": ""more than 8"", ""instrument"": ""none"", ""musician"": ""No"", ""speakers"": ""headphones"", ""UserComment"": ""Your comment...""}","{""hearing_disorder"": ""No"", ""age"": ""44""}",-1.0,S01_01,1,231
4,True,1,"{""stimulusKeys"": [""E1"", ""E1""], ""stimulusFiles"": {""S01_10"": ""seg01_10.mp3"", ""S01_09"": ""seg01_09.mp3"", ""S01_08"": ""seg01_08.mp3"", ""S01_07"": ""seg01_07.mp3"", ""S01_06"": ""seg01_06.mp3"", ""S01_05"": ""seg01_05.mp3"", ""S01_04"": ""seg01_04.mp3"", ""S01_03"": ""seg01_03.mp3"", ""S01_02"": ""seg01_02.mp3"", ""S01_01"": ""seg01_01.mp3""}, ""referenceKeys"": [""Reference""], ""conditionID"": ""1"", ""referenceFiles"": [[""Reference"", ""/audio/fTP8UtfLj3KbZX5FrTMDR1si3DCWlbANB8BAfyue0sUB_QTDgeevWITkUig4McHrQgADhayUlOnwdX_2_YsD87nJx2EQwcJIzdX7mYy-8sT8zALRU7slDnlrZJQD31b5.wav""]], ""groupID"": ""1""}",A9KPCMO1J1LQF,,1,2017-04-17 01:59:37.593038,10,True,mturk,"{""country"": ""USA"", ""speaker_other"": ""Other (Please specify)"", ""gender"": ""female"", ""confusing"": ""It would be nice to be able to go back to the instructional video or have a little popup for the examples if so warranted."", ""average_music_hours"": ""more than 8"", ""instrument"": ""guitar and voice (way out of practice, it's been years)"", ""musician"": ""Yes"", ""speakers"": ""phone tablet speakers"", ""UserComment"": ""Pay is a bit low for this task.""}","{""hearing_disorder"": ""No"", ""age"": ""41""}",0.545623331108,S01_01,1,382
5,True,1,"{""stimulusKeys"": [""E1"", ""E1""], ""stimulusFiles"": {""S01_10"": ""seg01_10.mp3"", ""S01_09"": ""seg01_09.mp3"", ""S01_08"": ""seg01_08.mp3"", ""S01_07"": ""seg01_07.mp3"", ""S01_06"": ""seg01_06.mp3"", ""S01_05"": ""seg01_05.mp3"", ""S01_04"": ""seg01_04.mp3"", ""S01_03"": ""seg01_03.mp3"", ""S01_02"": ""seg01_02.mp3"", ""S01_01"": ""seg01_01.mp3""}, ""referenceKeys"": [""Reference""], ""conditionID"": ""1"", ""referenceFiles"": [[""Reference"", ""/audio/fTP8UtfLj3KbZX5FrTMDR5Gx2RZIT6u0JSOL35aUVCAB_QTDgeevWITkUig4McHrQgADhayUlOnwdX_2_YsD87nJx2EQwcJIzdX7mYy-8sT8zALRU7slDnlrZJQD31b5.wav""]], ""groupID"": ""1""}",A2K94MIAGMDM2W,,1,2017-04-17 02:20:28.100933,51,True,mturk,"{""country"": ""USA"", ""speaker_other"": ""Other (Please specify)"", ""gender"": ""male"", ""confusing"": ""Not really, mostly not sure if I got the changing points right but that not really a  confusing thing just a self confidence thing."", ""average_music_hours"": ""4 to 8"", ""instrument"": ""Please specify..."", ""musician"": ""No"", ""speakers"": ""headphones"", ""UserComment"": ""None, very interesting task and I am a bit curious what it was actually for.""}","{""hearing_disorder"": ""No"", ""age"": ""30""}",0.186477803738,S01_01,1,419
6,False,1,"{""stimulusKeys"": [""E1"", ""E1""], ""stimulusFiles"": {""S01_10"": ""seg01_10.mp3"", ""S01_09"": ""seg01_09.mp3"", ""S01_08"": ""seg01_08.mp3"", ""S01_07"": ""seg01_07.mp3"", ""S01_06"": ""seg01_06.mp3"", ""S01_05"": ""seg01_05.mp3"", ""S01_04"": ""seg01_04.mp3"", ""S01_03"": ""seg01_03.mp3"", ""S01_02"": ""seg01_02.mp3"", ""S01_01"": ""seg01_01.mp3""}, ""referenceKeys"": [""Reference""], ""conditionID"": ""1"", ""referenceFiles"": [[""Reference"", ""/audio/fTP8UtfLj3KbZX5FrTMDR8DysN3pUBQ6yN5FNwt9_0kB_QTDgeevWITkUig4McHrQgADhayUlOnwdX_2_YsD87nJx2EQwcJIzdX7mYy-8sT8zALRU7slDnlrZJQD31b5.wav""]], ""groupID"": ""1""}",A9KSSJXDB6GPE,,1,2017-04-17 02:40:43.056710,76,True,mturk,"{""country"": ""IND"", ""speaker_other"": ""Other (Please specify)"", ""gender"": ""male"", ""confusing"": ""No"", ""average_music_hours"": ""1 to 4"", ""instrument"": ""Please specify..."", ""musician"": ""No"", ""speakers"": ""headphones"", ""UserComment"": ""Great""}","{""hearing_disorder"": ""No"", ""age"": ""32""}",0.866718124166,S01_01,1,703
7,True,1,"{""stimulusKeys"": [""E1"", ""E1""], ""stimulusFiles"": {""S01_10"": ""seg01_10.mp3"", ""S01_09"": ""seg01_09.mp3"", ""S01_08"": ""seg01_08.mp3"", ""S01_07"": ""seg01_07.mp3"", ""S01_06"": ""seg01_06.mp3"", ""S01_05"": ""seg01_05.mp3"", ""S01_04"": ""seg01_04.mp3"", ""S01_03"": ""seg01_03.mp3"", ""S01_02"": ""seg01_02.mp3"", ""S01_01"": ""seg01_01.mp3""}, ""referenceKeys"": [""Reference""], ""conditionID"": ""1"", ""referenceFiles"": [[""Reference"", ""/audio/fTP8UtfLj3KbZX5FrTMDR1Jnqj3IWewtV3fGTFY1ztgB_QTDgeevWITkUig4McHrQgADhayUlOnwdX_2_YsD87nJx2EQwcJIzdX7mYy-8sT8zALRU7slDnlrZJQD31b5.wav""]], ""groupID"": ""1""}",AYIFHDQSXQJ6B,,1,2017-04-17 02:53:30.546176,88,True,mturk,"{""country"": ""USA"", ""speaker_other"": ""Other (Please specify)"", ""gender"": ""female"", ""confusing"": ""This was a little confusing.It's hard to tell in some parts where the song changes because it sounds similar and could be a couple of different parts. I'm trying to decide whether or not to turn in this HIT because I don't want it to be rejected and I'm not sure if I did it right. I really did try though. I think I understood it. Any feedback would be greatly appreciated! "", ""average_music_hours"": ""4 to 8"", ""instrument"": ""Please specify..."", ""musician"": ""No"", ""speakers"": ""headphones"", ""UserComment"": ""You should extend the amount of time allotted to complete the HIT. I'm running out of time and I think I have a minute left.""}","{""hearing_disorder"": ""No"", ""age"": ""33""}",0.517585947931,S01_01,1,851
8,True,1,"{""stimulusKeys"": [""E1"", ""E1""], ""stimulusFiles"": {""S01_10"": ""seg01_10.mp3"", ""S01_09"": ""seg01_09.mp3"", ""S01_08"": ""seg01_08.mp3"", ""S01_07"": ""seg01_07.mp3"", ""S01_06"": ""seg01_06.mp3"", ""S01_05"": ""seg01_05.mp3"", ""S01_04"": ""seg01_04.mp3"", ""S01_03"": ""seg01_03.mp3"", ""S01_02"": ""seg01_02.mp3"", ""S01_01"": ""seg01_01.mp3""}, ""referenceKeys"": [""Reference""], ""conditionID"": ""1"", ""referenceFiles"": [[""Reference"", ""/audio/fTP8UtfLj3KbZX5FrTMDR3cbHjXCgXHO05g1HhViWBMB_QTDgeevWITkUig4McHrQgADhayUlOnwdX_2_YsD87nJx2EQwcJIzdX7mYy-8sT8zALRU7slDnlrZJQD31b5.wav""]], ""groupID"": ""1""}",AFDC9A6Z60W2Z,,1,2017-04-17 02:03:17.738282,25,True,mturk,"{""country"": ""USA"", ""speaker_other"": ""Other (Please specify)"", ""gender"": ""male"", ""confusing"": ""Please explain..."", ""average_music_hours"": ""1 to 4"", ""instrument"": ""Please specify..."", ""musician"": ""No"", ""speakers"": ""headphones"", ""UserComment"": ""Your comment...""}","{""hearing_disorder"": ""No"", ""age"": ""45""}",0.568320260347,S01_01,1,943
9,True,1,"{""stimulusKeys"": [""E1"", ""E1""], ""stimulusFiles"": {""S01_10"": ""seg01_10.mp3"", ""S01_09"": ""seg01_09.mp3"", ""S01_08"": ""seg01_08.mp3"", ""S01_07"": ""seg01_07.mp3"", ""S01_06"": ""seg01_06.mp3"", ""S01_05"": ""seg01_05.mp3"", ""S01_04"": ""seg01_04.mp3"", ""S01_03"": ""seg01_03.mp3"", ""S01_02"": ""seg01_02.mp3"", ""S01_01"": ""seg01_01.mp3""}, ""referenceKeys"": [""Reference""], ""conditionID"": ""1"", ""referenceFiles"": [[""Reference"", ""/audio/fTP8UtfLj3KbZX5FrTMDRz_Fnw2pC8uJ_2-LwjiShicB_QTDgeevWITkUig4McHrQgADhayUlOnwdX_2_YsD87nJx2EQwcJIzdX7mYy-8sT8zALRU7slDnlrZJQD31b5.wav""]], ""groupID"": ""1""}",A258PTOZ3D2TQR,,2,2017-04-17 02:40:38.234009,75,True,mturk,"{""country"": ""IND"", ""speaker_other"": ""Other (Please specify)"", ""gender"": ""male"", ""confusing"": ""nothing"", ""average_music_hours"": ""4 to 8"", ""instrument"": ""Please specify..."", ""musician"": ""No"", ""speakers"": ""headphones"", ""UserComment"": ""interesting to do""}","{""hearing_disorder"": ""No"", ""age"": ""28""}",0.257906375167,S01_01,1,1000
