,Unnamed: 0,accepted,condition_id,data,participant_crowd_worker_id,participant_hearing_response_estimation,participant_hearing_test_attempts,participant_hearing_test_last_attempt,participant_id,participant_passed_hearing_test,participant_platform,participant_post_test_survey,participant_pre_test_survey,rating,stimulus,test_id,trial_id
0,0,False,1,"{""stimulusKeys"": [""E1"", ""E1""], ""stimulusFiles"": {""S01_10"": ""seg01_10.mp3"", ""S01_09"": ""seg01_09.mp3"", ""S01_08"": ""seg01_08.mp3"", ""S01_07"": ""seg01_07.mp3"", ""S01_06"": ""seg01_06.mp3"", ""S01_05"": ""seg01_05.mp3"", ""S01_04"": ""seg01_04.mp3"", ""S01_03"": ""seg01_03.mp3"", ""S01_02"": ""seg01_02.mp3"", ""S01_01"": ""seg01_01.mp3""}, ""referenceKeys"": [""Reference""], ""conditionID"": ""1"", ""referenceFiles"": [[""Reference"", ""/audio/UKAHzeh-kpUdTMluA4Ypo3Wx3KTnIjAwmZlVlybJjxjUHv8KCfB4Ji_0-Ws5ymundMhG6eYWORj40-u-qOBtMse6OjNvEBd40AHYBCGnXC9s4xeftYLP767OjUCXoujx.wav""]], ""groupID"": ""1""}",AFDC9A6Z60W2Z,,1,2017-04-19 04:06:46.142202,5,True,mturk,"{""UserComment"": ""Your comment..."", ""average_music_hours"": ""4 to 8"", ""instrument"": ""Please specify..."", ""speakers"": ""headphones"", ""country"": ""USA"", ""musician"": ""No"", ""confusing"": ""no"", ""based_on"": ""A shift in melody/rhythm, switch from verse to chorus/bridge or vice versa"", ""gender"": ""male"", ""speaker_other"": ""Other (Please specify)""}","{""age"": ""45"", ""hearing_disorder"": ""No""}",-1.0,S01_01,1,225
1,1,True,1,"{""stimulusKeys"": [""E1"", ""E1""], ""stimulusFiles"": {""S01_10"": ""seg01_10.mp3"", ""S01_09"": ""seg01_09.mp3"", ""S01_08"": ""seg01_08.mp3"", ""S01_07"": ""seg01_07.mp3"", ""S01_06"": ""seg01_06.mp3"", ""S01_05"": ""seg01_05.mp3"", ""S01_04"": ""seg01_04.mp3"", ""S01_03"": ""seg01_03.mp3"", ""S01_02"": ""seg01_02.mp3"", ""S01_01"": ""seg01_01.mp3""}, ""referenceKeys"": [""Reference""], ""conditionID"": ""1"", ""referenceFiles"": [[""Reference"", ""/audio/UKAHzeh-kpUdTMluA4Ypo3Wx3KTnIjAwmZlVlybJjxjUHv8KCfB4Ji_0-Ws5ymundMhG6eYWORj40-u-qOBtMkPupIOEa-FQUlVtIisgw05e_kM4nWIdriwuSeLdd_Ec.wav""]], ""groupID"": ""1""}",A31Z5TPD8QKE26,,1,2017-04-19 04:31:13.776307,24,True,mturk,"{""UserComment"": ""n/a"", ""average_music_hours"": ""4 to 8"", ""instrument"": ""Acoustic guitar"", ""speakers"": ""headphones"", ""country"": ""USA"", ""musician"": ""Yes"", ""confusing"": ""no"", ""based_on"": ""I was listening for musical transitions where the the chorus clearly began or where there was a bridge."", ""gender"": ""male"", ""speaker_other"": ""Other (Please specify)""}","{""age"": ""32"", ""hearing_disorder"": ""No""}",-1.0,S01_01,1,328
2,2,False,1,"{""stimulusKeys"": [""E1"", ""E1""], ""stimulusFiles"": {""S01_10"": ""seg01_10.mp3"", ""S01_09"": ""seg01_09.mp3"", ""S01_08"": ""seg01_08.mp3"", ""S01_07"": ""seg01_07.mp3"", ""S01_06"": ""seg01_06.mp3"", ""S01_05"": ""seg01_05.mp3"", ""S01_04"": ""seg01_04.mp3"", ""S01_03"": ""seg01_03.mp3"", ""S01_02"": ""seg01_02.mp3"", ""S01_01"": ""seg01_01.mp3""}, ""referenceKeys"": [""Reference""], ""conditionID"": ""1"", ""referenceFiles"": [[""Reference"", ""/audio/UKAHzeh-kpUdTMluA4Ypo3Wx3KTnIjAwmZlVlybJjxjUHv8KCfB4Ji_0-Ws5ymundMhG6eYWORj40-u-qOBtMlhFITWyeAO_jzrKfekL09he_kM4nWIdriwuSeLdd_Ec.wav""]], ""groupID"": ""1""}",A1FHS282JP487T,,1,2017-04-19 04:39:22.720837,31,True,mturk,"{""UserComment"": ""Your comment..."", ""average_music_hours"": ""1 to 4"", ""instrument"": ""Please specify..."", ""speakers"": ""headphones"", ""country"": ""USA"", ""musician"": ""No"", ""confusing"": ""Please explain..."", ""based_on"": ""Significant change in melody, vocals or tune"", ""gender"": ""male"", ""speaker_other"": ""Other (Please specify)""}","{""age"": ""31"", ""hearing_disorder"": ""No""}",0.855882352941,S01_01,1,381
3,3,True,1,"{""stimulusKeys"": [""E1"", ""E1""], ""stimulusFiles"": {""S01_10"": ""seg01_10.mp3"", ""S01_09"": ""seg01_09.mp3"", ""S01_08"": ""seg01_08.mp3"", ""S01_07"": ""seg01_07.mp3"", ""S01_06"": ""seg01_06.mp3"", ""S01_05"": ""seg01_05.mp3"", ""S01_04"": ""seg01_04.mp3"", ""S01_03"": ""seg01_03.mp3"", ""S01_02"": ""seg01_02.mp3"", ""S01_01"": ""seg01_01.mp3""}, ""referenceKeys"": [""Reference""], ""conditionID"": ""1"", ""referenceFiles"": [[""Reference"", ""/audio/UKAHzeh-kpUdTMluA4Ypo3Wx3KTnIjAwmZlVlybJjxjUHv8KCfB4Ji_0-Ws5ymundMhG6eYWORj40-u-qOBtMuOB6pi3z_NjZQAEt73JQA9e_kM4nWIdriwuSeLdd_Ec.wav""]], ""groupID"": ""1""}",A20ALQT1HIVSAH,,2,2017-04-19 04:20:59.101093,18,True,mturk,"{""UserComment"": ""Your comment..."", ""average_music_hours"": ""more than 8"", ""instrument"": ""Please specify..."", ""speakers"": ""headphones"", ""country"": ""USA"", ""musician"": ""No"", ""confusing"": ""no"", ""based_on"": ""change in the sound or tempo or chorus"", ""gender"": ""female"", ""speaker_other"": ""Other (Please specify)""}","{""age"": ""39"", ""hearing_disorder"": ""No""}",0.939481809079,S01_01,1,394
4,4,False,1,"{""stimulusKeys"": [""E1"", ""E1""], ""stimulusFiles"": {""S01_10"": ""seg01_10.mp3"", ""S01_09"": ""seg01_09.mp3"", ""S01_08"": ""seg01_08.mp3"", ""S01_07"": ""seg01_07.mp3"", ""S01_06"": ""seg01_06.mp3"", ""S01_05"": ""seg01_05.mp3"", ""S01_04"": ""seg01_04.mp3"", ""S01_03"": ""seg01_03.mp3"", ""S01_02"": ""seg01_02.mp3"", ""S01_01"": ""seg01_01.mp3""}, ""referenceKeys"": [""Reference""], ""conditionID"": ""1"", ""referenceFiles"": [[""Reference"", ""/audio/UKAHzeh-kpUdTMluA4Ypo3Wx3KTnIjAwmZlVlybJjxjUHv8KCfB4Ji_0-Ws5ymundMhG6eYWORj40-u-qOBtMvNZ7yFSFnD4qIcWIZwmuSte_kM4nWIdriwuSeLdd_Ec.wav""]], ""groupID"": ""1""}",A2ADEPVGNNXNPA,,1,2017-04-19 05:07:45.056438,44,True,mturk,"{""UserComment"": ""Your comment..."", ""average_music_hours"": ""more than 8"", ""instrument"": ""Please specify..."", ""speakers"": ""headphones"", ""country"": ""USA"", ""musician"": ""No"", ""confusing"": ""sometimes hard to decide"", ""based_on"": ""change in sound or tone or tempo or focus, e.g. change from vocal melody to instrumental."", ""gender"": ""female"", ""speaker_other"": ""Other (Please specify)""}","{""age"": ""28"", ""hearing_disorder"": ""No""}",0.536266642253,S01_01,1,577
5,5,True,1,"{""stimulusKeys"": [""E1"", ""E1""], ""stimulusFiles"": {""S01_10"": ""seg01_10.mp3"", ""S01_09"": ""seg01_09.mp3"", ""S01_08"": ""seg01_08.mp3"", ""S01_07"": ""seg01_07.mp3"", ""S01_06"": ""seg01_06.mp3"", ""S01_05"": ""seg01_05.mp3"", ""S01_04"": ""seg01_04.mp3"", ""S01_03"": ""seg01_03.mp3"", ""S01_02"": ""seg01_02.mp3"", ""S01_01"": ""seg01_01.mp3""}, ""referenceKeys"": [""Reference""], ""conditionID"": ""1"", ""referenceFiles"": [[""Reference"", ""/audio/UKAHzeh-kpUdTMluA4Ypo3Wx3KTnIjAwmZlVlybJjxjUHv8KCfB4Ji_0-Ws5ymundMhG6eYWORj40-u-qOBtMg9LV0shwJ-qO2QBsQhswSpe_kM4nWIdriwuSeLdd_Ec.wav""]], ""groupID"": ""1""}",A8LWJ1BQBPPIJ,,1,2017-04-19 04:40:48.256580,32,True,mturk,"{""UserComment"": ""none"", ""average_music_hours"": ""more than 8"", ""instrument"": ""violin, guitar, harp, piano, percussion"", ""speakers"": ""headphones"", ""country"": ""USA"", ""musician"": ""Yes"", ""confusing"": ""no"", ""based_on"": ""I was usually looking for the change between one melodic/rhythmic phrase and another."", ""gender"": ""female"", ""speaker_other"": ""Other (Please specify)""}","{""age"": ""58"", ""hearing_disorder"": ""No""}",0.942152036048,S01_01,1,616
6,6,True,1,"{""stimulusKeys"": [""E1"", ""E1""], ""stimulusFiles"": {""S01_10"": ""seg01_10.mp3"", ""S01_09"": ""seg01_09.mp3"", ""S01_08"": ""seg01_08.mp3"", ""S01_07"": ""seg01_07.mp3"", ""S01_06"": ""seg01_06.mp3"", ""S01_05"": ""seg01_05.mp3"", ""S01_04"": ""seg01_04.mp3"", ""S01_03"": ""seg01_03.mp3"", ""S01_02"": ""seg01_02.mp3"", ""S01_01"": ""seg01_01.mp3""}, ""referenceKeys"": [""Reference""], ""conditionID"": ""1"", ""referenceFiles"": [[""Reference"", ""/audio/UKAHzeh-kpUdTMluA4Ypo3Wx3KTnIjAwmZlVlybJjxjUHv8KCfB4Ji_0-Ws5ymundMhG6eYWORj40-u-qOBtMkeXYpgWQkoZ8MMcfDz0Iixs4xeftYLP767OjUCXoujx.wav""]], ""groupID"": ""1""}",A2RMJNF6IPI42F,,1,2017-04-19 04:14:48.317339,3,True,mturk,"{""UserComment"": ""Your comment..."", ""average_music_hours"": ""more than 8"", ""instrument"": ""Please specify..."", ""speakers"": ""headphones"", ""country"": ""USA"", ""musician"": ""No"", ""confusing"": ""n/a"", ""based_on"": ""chord change, tempo change"", ""gender"": ""female"", ""speaker_other"": ""Other (Please specify)""}","{""age"": ""32"", ""hearing_disorder"": ""No""}",0.941470583747,S01_01,1,632
7,7,False,1,"{""stimulusKeys"": [""E1"", ""E1""], ""stimulusFiles"": {""S01_10"": ""seg01_10.mp3"", ""S01_09"": ""seg01_09.mp3"", ""S01_08"": ""seg01_08.mp3"", ""S01_07"": ""seg01_07.mp3"", ""S01_06"": ""seg01_06.mp3"", ""S01_05"": ""seg01_05.mp3"", ""S01_04"": ""seg01_04.mp3"", ""S01_03"": ""seg01_03.mp3"", ""S01_02"": ""seg01_02.mp3"", ""S01_01"": ""seg01_01.mp3""}, ""referenceKeys"": [""Reference""], ""conditionID"": ""1"", ""referenceFiles"": [[""Reference"", ""/audio/UKAHzeh-kpUdTMluA4Ypo3Wx3KTnIjAwmZlVlybJjxjUHv8KCfB4Ji_0-Ws5ymundMhG6eYWORj40-u-qOBtMj_WZPX6jXf5RTLxJ3qdn7pe_kM4nWIdriwuSeLdd_Ec.wav""]], ""groupID"": ""1""}",A7OVF55GAEQ30,,1,2017-04-19 05:11:13.988908,46,True,mturk,"{""UserComment"": ""Thank you."", ""average_music_hours"": ""less than one hour"", ""instrument"": ""Please specify..."", ""speakers"": ""loudspeakers"", ""country"": ""IND"", ""musician"": ""No"", ""confusing"": ""Little bit confusing"", ""based_on"": ""Home"", ""gender"": ""male"", ""speaker_other"": ""Other (Please specify)""}","{""age"": ""36"", ""hearing_disorder"": ""No""}",0.438461538462,S01_01,1,757
8,8,True,1,"{""stimulusKeys"": [""E1"", ""E1""], ""stimulusFiles"": {""S01_10"": ""seg01_10.mp3"", ""S01_09"": ""seg01_09.mp3"", ""S01_08"": ""seg01_08.mp3"", ""S01_07"": ""seg01_07.mp3"", ""S01_06"": ""seg01_06.mp3"", ""S01_05"": ""seg01_05.mp3"", ""S01_04"": ""seg01_04.mp3"", ""S01_03"": ""seg01_03.mp3"", ""S01_02"": ""seg01_02.mp3"", ""S01_01"": ""seg01_01.mp3""}, ""referenceKeys"": [""Reference""], ""conditionID"": ""1"", ""referenceFiles"": [[""Reference"", ""/audio/UKAHzeh-kpUdTMluA4Ypo3Wx3KTnIjAwmZlVlybJjxjUHv8KCfB4Ji_0-Ws5ymundMhG6eYWORj40-u-qOBtMoNGzEtAX4gWWG3LyRxcZJVe_kM4nWIdriwuSeLdd_Ec.wav""]], ""groupID"": ""1""}",ACM3TPZKLE7WC,,1,2017-04-19 05:01:04.144084,39,True,mturk,"{""UserComment"": ""Your comment..."", ""average_music_hours"": ""more than 8"", ""instrument"": ""Please specify..."", ""speakers"": ""headphones"", ""country"": ""USA"", ""musician"": ""No"", ""confusing"": ""Please explain..."", ""based_on"": ""Any change in tempo, chorus, or break during the song"", ""gender"": ""female"", ""speaker_other"": ""Other (Please specify)""}","{""age"": ""22"", ""hearing_disorder"": ""No""}",0.564314919893,S01_01,1,772
9,9,True,1,"{""stimulusKeys"": [""E1"", ""E1""], ""stimulusFiles"": {""S01_10"": ""seg01_10.mp3"", ""S01_09"": ""seg01_09.mp3"", ""S01_08"": ""seg01_08.mp3"", ""S01_07"": ""seg01_07.mp3"", ""S01_06"": ""seg01_06.mp3"", ""S01_05"": ""seg01_05.mp3"", ""S01_04"": ""seg01_04.mp3"", ""S01_03"": ""seg01_03.mp3"", ""S01_02"": ""seg01_02.mp3"", ""S01_01"": ""seg01_01.mp3""}, ""referenceKeys"": [""Reference""], ""conditionID"": ""1"", ""referenceFiles"": [[""Reference"", ""/audio/UKAHzeh-kpUdTMluA4Ypo3Wx3KTnIjAwmZlVlybJjxjUHv8KCfB4Ji_0-Ws5ymundMhG6eYWORj40-u-qOBtMi8txmtVMYBIgCG8zTgtdFhe_kM4nWIdriwuSeLdd_Ec.wav""]], ""groupID"": ""1""}",A19LVWX8ZLO6CS,,1,2017-04-19 06:07:41.503573,63,True,mturk,"{""UserComment"": ""Your comment..."", ""average_music_hours"": ""4 to 8"", ""instrument"": ""N/A"", ""speakers"": ""headphones"", ""country"": ""USA"", ""musician"": ""No"", ""confusing"": ""N/A"", ""based_on"": ""I was listening for a change in the tone of the sound (when a new instrument came into play, a singer's vocal came into play, etc.)."", ""gender"": ""male"", ""speaker_other"": ""Other (Please specify)""}","{""age"": ""35"", ""hearing_disorder"": ""No""}",0.128266642253,S01_01,1,784
